09-09-2019 16:36:21 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas/3|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 16:36:43 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas/3|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 16:37:50 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas/3|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 16:38:01 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas/3|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:05:48 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:06:02 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:06:44 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/sasas|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:06:50 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:16:26 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:16:57 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:17:40 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:18:01 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:19:02 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:20:56 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:21:53 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:25:41 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 17:25:54 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 18:01:12 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
09-09-2019 18:02:09 - access_log --> 127.0.0.1|user|NO_MSISDN|Account Dashboard|http://localhost:7777/mini-banking-system/public/profile/kagoji-faysal|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|windows|||
